id,language,text
RoomA,kr,출근시간이다. 준비해야겠어.
RoomB,kr,아버지는 출근하신건가?
RoomC,kr,누나는 며칠동안 집을 비운다고 하셨지
RoomD,kr,어머니는 늘 일찍 출근하시네
Balcony1,kr,베란다에 나오니 상쾌하네
Balcony2,kr,요즘은 아버지도 베란다에서 담배를 피우시진 않으시는것같네
Kitchen,kr,배고픈데 뭐 먹고 나갈 시간도 없겠네
LivingRoom,kr,요즘 화재 관련 뉴스도 많이 나오던데 나가면서 화재 위험이나 점검해볼까
ClothesRoom,kr,샤워는 아까 했어
Bathroom1,kr,지금은 딱히 볼일없어
Bathroom2,kr,세수나 한번 더 하고 나갈까
Entrance,kr,출근하기 싫다…
Porch,kr,쉬고싶다…
Hallway,kr,엘리베이터 타고 출근하자
Situation0,kr,…뭔가 이상한데?
Situation1,kr,불이다!
Situation2,kr,?!?!?!
Balcony1_Cigarette_Resolve,kr,담뱃불이 안꺼진 채로 종이 위에 있으면 화재가 발생할 위험이 있지... 
RoomC_HairdStraightener_Hazard_Resolve,kr,전열기구는 콘센트를 잘 뽑고 전원을 차단해야 해
Kitchen_InductionLever_Resolve,kr,조리 중에는 자리 비우지 말자
LivingRoom_PowerStrip_UnPlug_Resolve,kr,고용량 멀티탭을 사용할땐 문어발식으로 연결해두면 위험해...
Balcony_DescenderObservation_Resolve,kr,완강기의 로프 길이가 이상하잖아. 관리사무소에 연락해서 점검을 요청해야겠어.
Kitchen_FireExtinguisherObservation_Resolve,kr,소화기 압력이 부족하군. 관리사무소에 연락해서 점검을 요청해야겠어.
Wrong_Call_01,kr,네 무슨 일이십니까?
Wrong_Call_02,kr,제 마음에 불이 났어요!
Wrong_Call_03,kr,허위·장난 신고는 처벌받을 수 있습니다!
Balcony_DescenderObservation_AfterResolve_01,kr,관리사무소입니다. 무슨 일이신가요?
Balcony_DescenderObservation_AfterResolve_02,kr,집에 설치된 완강기의 길이가 이상합니다!
Balcony_DescenderObservation_AfterResolve_03,kr,즉시 조치하겠습니다! 신고 감사합니다!
EntireHouse_Alarm_Calling_01,kr,119입니다. 무슨 일입니까?
EntireHouse_Alarm_Calling_02,kr,화재입니다! 비상대피공간으로 가라는데 어디로 가야 하죠?
EntireHouse_Alarm_Calling_03,kr,베란다의 비상대피공간으로 이동하세요. 문을 닫고 그 안에서 대기하세요. 현재 위치는 저희가 확인하겠습니다.
Entrance_FireSuppression_BeforeResolve_01,kr,119입니다. 무슨 일입니까?
Entrance_FireSuppression_BeforeResolve_02,kr,아파트 복도에 불이 났어요! 택배 상자에 불이 붙었어요!
Entrance_FireSuppression_BeforeResolve_03,kr,우선 주변에 비상벨이 있다면 눌러서 화재 사실을 알려주세요!
Entrance_FireSuppression_BeforeResolve_04,kr,안전하게 대피할 수 있고 불이 아직 작다면 주변 소화시설을 이용해 초기 진화를 시도하세요. 진화가 어렵거나 불길이 커지면 즉시 대피하세요!
Entrance_FireSuppression_AfterResolve_01,kr,119입니다. 무슨 일입니까?
Entrance_FireSuppression_AfterResolve_02,kr,화재를 성공적으로 진압했습니다! 이제 뭘 해야 하나요?
Entrance_FireSuppression_AfterResolve_03,kr,불이 꺼졌더라도 현장에 머무르지 말고 비상계단을 이용해 안전한 곳으로 대피해 주세요.
Entrance_FireSuppression_AfterResolve_04,kr,소방대가 도착해 현장을 확인할 때까지 다시 들어가지 마세요.
Entrance_LightweightPartition_Escape_Calling_01,kr,119입니다. 무슨 일입니까?
Entrance_LightweightPartition_Escape_Calling_02,kr,현관 밖에 불이 났어요! 연기도 계속 집 안으로 들어오고 있어요!
Entrance_LightweightPartition_Escape_Calling_03,kr,지금은 현관으로 나가면 위험합니다. 베란다로 이동해 주세요!
Entrance_LightweightPartition_Escape_Calling_04,kr,경량칸막이를 깨고 옆 세대로 대피한 뒤 안전한 곳에서 구조를 기다리세요!
Kitchen_FireExtinguisherObservation_AfterResolve_01,kr,관리사무소입니다. 무슨 일이신가요?
Kitchen_FireExtinguisherObservation_AfterResolve_02,kr,소화기의 압력 게이지가 낮습니다!
Kitchen_FireExtinguisherObservation_AfterResolve_03,kr,즉시 조치하겠습니다! 신고 감사합니다!
Kitchen_OilFire_BeforeResolve_01,kr,119입니다. 무슨 일입니까?
Kitchen_OilFire_BeforeResolve_02,kr,주방에서 식용유에 불이 붙었어요!
Kitchen_OilFire_BeforeResolve_03,kr,안전하게 대피할 수 있고 불이 아직 작다면 초기 진화를 시도하세요. 진화가 어렵거나 불길이 커지면 즉시 대피하세요!
Kitchen_OilFire_BeforeResolve_04,kr,식용유 화재에는 절대로 물을 뿌리면 안 됩니다! 주변에 K급 소화기가 있다면 사용해 주세요!
Kitchen_OilFire_AfterResolve_01,kr,119입니다. 무슨 일입니까?
Kitchen_OilFire_AfterResolve_02,kr,화재를 진압했습니다. 이제 어떻게 해야 하나요?
Kitchen_OilFire_AfterResolve_03,kr,불이 꺼졌더라도 현장에 머무르지 말고 비상계단을 이용해 안전한 곳으로 대피해 주세요.
Kitchen_OilFire_AfterResolve_04,kr,소방대가 도착해 현장을 확인할 때까지 다시 들어가지 마세요.
LivingRoom_PowerStrip_Fire_BeforeResolve_01,kr,119입니다. 무슨 일입니까?
LivingRoom_PowerStrip_Fire_BeforeResolve_02,kr,멀티탭에 불이 붙었어요!
LivingRoom_PowerStrip_Fire_BeforeResolve_03,kr,전기화재에는 절대로 물을 뿌리지 마세요! 감전 위험이 있습니다.
LivingRoom_PowerStrip_Fire_BeforeResolve_04,kr,주변에 ABC 분말소화기가 있다면 사용해 초기 진화를 시도하세요. 진화가 어렵다면 즉시 대피하세요!
LivingRoom_PowerStrip_Fire_AfterResolve_01,kr,119입니다. 무슨 일입니까?
LivingRoom_PowerStrip_Fire_AfterResolve_02,kr,화재를 진압했습니다. 이제 어떻게 해야 하나요?
LivingRoom_PowerStrip_Fire_AfterResolve_03,kr,불이 꺼졌더라도 현장에 머무르지 말고 비상계단을 이용해 안전한 곳으로 대피해 주세요.
LivingRoom_PowerStrip_Fire_AfterResolve_04,kr,소방대가 도착해 현장을 확인할 때까지 다시 들어가지 마세요.
Block_Eleavator_01,kr,한가롭게 출근할때가 아니야...
Balcony_FishBowl_Resolved,kr,어항같이 빛이 반사되는 물건이 직사광선을 받으면 위험해...
