id,language,text
quest01_001,kr,"화재를 발견했습니다. 주변에 화재 사실을 알리고, 대피에 방해되지 않는 안전한 장소에서 119에 신고하세요."
quest01_002,kr,앞에 있는 휴대전화를 집어 119를 눌러 주세요.
quest01_003,kr,119입니다. 무슨 상황입니까?
quest01_004,kr,"화재입니다. 메타아파트 105동 7층, 705호 앞에서 불이 났습니다."
quest01_005,kr,현재 화재 상황과 대피하지 못한 사람이나 다친 사람이 있는지 말씀해 주세요.
quest01_006,kr,"복도에 연기가 퍼지고 있습니다. 저는 안전한 장소로 대피했으며, 대피하지 못한 사람이 있는지는 확인하지 못했습니다."
quest01_007,kr,신고가 접수되었습니다. 안전한 장소에 머물고 위험한 곳으로 다시 들어가지 마세요. 추가 확인을 위해 전화를 끊지 말아 주세요.
quest01_008,kr,"화재를 발견하면 주변에 알리고 119에 신속히 신고하세요. 단, 신고하려고 연기나 불길 속에 머물러서는 안 됩니다."
quest01_009,kr,"신고할 때는 정확한 위치, 화재 상황, 대피하지 못한 사람과 부상자 여부를 차분하게 알려 주세요."
quest02_001,kr,전방에 화재가 발생했습니다. 주변 사람들에게 화재 사실을 알리기 위해 소방벨 버튼을 눌러 주세요.
quest02_002,kr,소방벨은 건물 안의 사람들에게 화재 발생 사실을 알리는 중요한 설비입니다.
quest02_003,kr,장난이나 허위로 작동하면 처벌받을 수 있습니다. 화재를 발견했을 때는 망설이지 말고 반드시 눌러 주세요.
quest03_001,kr,전방에 초기 화재가 발생했습니다. 현재 대피로는 확보되어 있습니다.
quest03_002,kr,전방에 보이는 소화기를 잡아 주세요.
quest03_003,kr,소화기를 사용하려면 먼저 안전핀을 뽑아야 합니다. 안전핀을 뽑아 주세요.
quest03_004,kr,한 손으로 노즐을 잡고 불의 아랫부분을 향하게 하세요.
quest03_005,kr,"다른 손으로 손잡이를 누른 뒤, 불의 아랫부분을 향해 좌우로 쓸듯이 방사하세요."
quest03_006,kr,초기 화재를 진압했습니다. 불길이 커지거나 연기가 많아지면 진화를 즉시 중단하고 안전한 곳으로 대피하세요.
quest04_001,kr,전방에 초기 화재가 발생했습니다. 옥내소화전을 사용해 진압하겠습니다.
quest04_002,kr,소화전함의 문을 열어 주세요.
quest04_003,kr,함 안의 밸브 레버를 끝까지 돌려 물이 공급되도록 하세요.
quest04_004,kr,호스 노즐을 잡고 화재 지점으로 이동하세요.
quest04_005,kr,노즐을 불의 아랫부분으로 향하게 한 뒤 물을 분사하세요.
quest04_006,kr,초기 화재를 진압했습니다. 불길이 커지거나 연기가 많아지면 즉시 진화를 중단하고 대피하세요.
quest05_001,kr,대피 경로에 닫힌 문이 있습니다. 문을 열기 전에 반대편에 화재 위험이 있는지 확인하세요.
quest05_002,kr,"손등으로 문과 손잡이의 열기를 확인하고, 문틈에서 연기가 나오거나 타는 소리가 들리는지 살펴보세요."
quest05_003,kr,손잡이에서 강한 열기가 느껴지고 문 너머에서 불타는 소리가 들립니다. 이 문은 열지 마세요.
quest05_004,kr,이 문 너머에는 화재 위험이 있습니다. 다른 대피 경로를 찾아 두 번째 문을 확인하세요.
quest05_005,kr,손잡이가 뜨겁지 않고 문틈에서 연기가 보이지 않습니다. 몸을 낮추고 문을 조금씩 열어 내부 상황을 확인하세요.
quest05_006,kr,대피로를 확인했습니다. 문을 통과한 뒤 연기와 화염의 확산을 막기 위해 문을 닫고 대피하세요.
quest06_001,kr,앞에 놓인 손수건에 물병의 물을 부어 충분히 적셔 주세요.
quest06_002,kr,젖은 손수건으로 코와 입을 가려 연기 흡입을 줄이세요.
quest06_003,kr,전방에 비상문이 있습니다. 비상문을 통해 대피하겠습니다.
quest06_004,kr,연기가 유입되고 있습니다. 대피로를 따라 낮은 자세로 이동하세요.
quest06_005,kr,"대피할 때는 젖은 천으로 코와 입을 가리고, 가능한 한 낮은 자세를 유지하세요."
quest06_006,kr,짙은 연기나 불길이 통로를 막고 있다면 진입하지 말고 다른 대피 경로를 찾으세요.
quest07_001,kr,대피 방송이 들립니다. 건물 안에서 화재가 발생했습니다.
quest07_002,kr,엘리베이터를 이용하지 말고 비상구 유도등을 따라 비상계단으로 이동하세요.
quest07_003,kr,"화재 시 엘리베이터는 정전이나 고장으로 멈추거나, 화재가 발생한 층에서 문이 열릴 수 있어 위험합니다."
quest07_004,kr,"연기가 유입될 수도 있으므로 엘리베이터를 이용하지 말고, 계단을 따라 낮은 자세로 대피하세요."
quest08_001,kr,현관으로 대피할 수 없습니다. 발코니의 경량칸막이를 찾아주세요.
quest08_002,kr,왼쪽에 보이는 빠따를 가지고 경량 칸막이를 부숴주세요.
quest08_003,kr,경량칸막이는 현관이나 계단으로 대피하기 어려울 때 사용합니다.
quest08_004,kr,평소 칸막이 앞에 물건을 두지 마세요.
quest09_001,kr,현관을 통해 대피할 수 없습니다. 발코니의 대피공간으로 이동하세요.
quest09_002,kr,대피공간 안으로 들어간 뒤 방화문을 완전히 닫아 화염과 연기의 유입을 막으세요.
quest09_003,kr,119에 신고해 현재 위치와 대피공간 안의 인원을 정확히 알리세요.
quest09_004,kr,119입니다. 무슨 일이십니까?
quest09_005,kr,"화재가 발생했습니다. 저는 메타아파트 105동 705호 대피공간에 있으며, 대피 인원은 1명입니다."
quest09_006,kr,신고가 접수되었습니다. 방화문은 열지 말고 구조대가 도착할 때까지 대피공간에서 기다리세요. 통화는 계속 유지해 주시기 바랍니다.
quest09_007,kr,연기가 들어오지 않도록 젖은 천으로 문틀과 창문틀의 틈새를 빈틈없이 막아 주세요.
quest09_008,kr,(멀리서 소방차 사이렌 소리가 들립니다.)
quest09_009,kr,"대피공간에는 물건을 쌓아 두지 말고, 위급할 때 즉시 사용할 수 있도록 항상 비워 두세요."
